			a_acc	b_acc	a_speed	b_speed	noise	scale	tauR	tauG	tauI	
1	125	121950281	37.377578	1.42481	29.758177	1.521503	0.999988	25.6	0.253087	0.001141	0.001	28865.80942
1	148	78451106	69.877399	0.964408	41.191937	1.354732	1	25.605363	0.107491	0.033438	0.001008	28865.89109
1	103	46990147	39.326575	1.430186	35.242954	1.510378	0.999994	25.603225	0.277364	0.001	0.001	28873.84519
1	80	24229450	69.954518	0.957174	67.302401	1.024787	0.9947	25.600025	0.095053	0.032949	0.004798	28874.6853
1	127	96242865	37.13385	1.426044	27.408132	1.537545	0.999927	25.603961	0.250496	0.002754	0.001	28892.56688
1	39	30677046	69.829889	0.971856	42.420178	1.340763	0.999958	25.605977	0.111559	0.029507	0.001	28892.72485
1	90	44718994	37.606702	1.4211	33.516479	1.504591	0.999784	25.600065	0.252143	0.001626	0.001	28918.42373
1	84	46515799	69.994046	0.95424	66.173446	1.035814	0.996649	25.611656	0.099562	0.019872	0.00132	28920.05937
1	130	106014125	37.736423	1.423286	33.550207	1.501643	0.999811	25.602173	0.254562	0.001756	0.00101	28931.70481
1	160	31126419	65.204773	1.013989	49.273224	1.257373	0.999991	25.601562	0.101083	0.03641	0.001382	28944.62815
1	69	87512077	69.992971	0.955055	46.984294	1.286454	0.99999	25.6	0.098805	0.035473	0.002782	28956.74028
1	19	64975969	43.222069	0.66638	69.997777	0.276173	0.999161	25.6	0.001	0.011649	0.6157	28963.99611
1	125	60277840	61.209986	1.053927	69.656082	0.98413	0.999515	25.608051	0.097041	0.032607	0.001382	28971.66816
1	59	47511863	62.206149	1.046321	57.607405	1.145452	1	25.600708	0.097179	0.035986	0.001866	29032.99459
1	107	102896222	69.998932	0.972827	43.234863	1.324219	0.999991	25.601562	0.112876	0.024638	0.001439	29066.26804
1	122	73486949	69.841062	0.967706	39.32674	1.372776	0.999999	25.619172	0.109161	0.027981	0.001516	29078.52389
1	144	24719638	44.45067	1.347747	34.48017	1.472766	0.998711	25.600057	0.226678	0.001133	0.001082	29095.37929
1	108	26572438	41.652951	1.387455	37.022131	1.478247	0.999604	25.6	0.24441	0.001518	0.001208	29125.94302
1	94	20794305	42.178312	1.347859	31.565978	1.485782	0.997134	25.600097	0.217399	0.001342	0.001011	29130.93868
1	112	39008321	42.079307	0.418711	50.622592	0.398124	0.999412	25.623792	0.001003	0.013077	0.271191	29149.66917
1	26	65684291	69.924539	0.956747	57.478839	1.146317	1	25.600014	0.106822	0.008006	0.001253	29164.44478
1	116	23535635	46.092543	1.328045	34.556123	1.467377	0.999852	25.6	0.217535	0.001	0.001061	29170.97463
1	31	66180007	69.861502	0.974452	49.968453	1.242238	0.999994	25.600316	0.116607	0.010478	0.00125	29179.79049
1	43	87506679	69.966507	0.949452	57.786698	1.132927	0.999818	25.6	0.107816	0.002392	0.001006	29185.1363
1	38	66879409	69.95684	0.952339	55.224766	1.156053	0.999997	25.6	0.108087	0.003807	0.001002	29187.99942
1	34	30176247	69.975586	0.961206	56.995239	1.147144	0.999991	25.601562	0.113382	0.001025	0.001	29192.08191
1	133	29198293	69.055293	0.974473	48.609092	1.231073	0.999907	25.602865	0.111987	0.00754	0.001003	29193.6111
1	76	69092976	69.998886	0.950474	56.478968	1.140103	0.999888	25.60081	0.107964	0.002306	0.001216	29203.59557
1	120	39432938	69.999891	0.954779	59.563059	1.117261	1	25.6	0.109699	0.001001	0.001341	29204.64201
1	61	40571368	67.550068	0.992138	52.1243	1.20385	1	25.619873	0.11433	0.00732	0.001002	29213.33689
1	13	64377754	68.230764	0.980062	52.357246	1.192479	0.998798	25.6	0.115285	0.002209	0.001004	29216.36288
1	101	72107264	69.84392	0.967172	51.148731	1.206549	0.999677	25.619834	0.118449	0.001068	0.001002	29222.67344
1	32	66279438	68.548337	0.980397	49.436121	1.227915	0.99996	25.6	0.117279	0.002869	0.001091	29230.81816
1	70	47982603	69.999994	0.938533	62.421946	1.073477	0.999986	25.601593	0.103978	0.001199	0.001	29231.14147
1	129	79578431	63.87239	0.145836	69.998806	0.2107	0.998122	26.152436	0.001	0.001	0.999999	29232.2754
1	120	66197460	66.727285	0.997611	53.461641	1.194376	0.999998	25.6	0.110054	0.009969	0.001	29234.93492
1	151	112427609	70	0.968449	49.689877	1.224037	0.999666	25.6	0.119297	0.001193	0.001015	29236.01716
1	152	63677104	69.624674	0.966086	49.796273	1.213108	0.993283	25.600009	0.113681	0.002123	0.001111	29241.09469
1	111	91800538	46.374536	1.302168	36.355079	1.436693	0.997428	25.600014	0.196851	0.003219	0.001007	29244.0667
1	37	30479055	69.976617	0.945886	55.354843	1.142921	1	25.6	0.105512	0.001007	0.001013	29245.00658
1	138	58123872	47.437225	1.296133	38.699787	1.419563	0.999222	25.6	0.20136	0.001029	0.00108	29247.1994
1	123	45048729	69.975586	0.964551	49.431152	1.211914	0.999963	25.65625	0.117735	0.001	0.001	29248.76203
1	86	112082961	47.580248	1.286948	29.899514	1.472152	1	25.600072	0.193754	0.002755	0.001	29252.65229
1	93	24696179	69.510964	0.953941	62.080217	1.08258	1	25.608691	0.107232	0.001002	0.001013	29253.76743
1	1	26877847	61.924353	1.077316	46.230197	1.273719	1	25.6	0.13556	0.001	0.001	29265.64061
1	3	27077852	68.525391	0.985425	48.557739	1.228467	0.999991	25.601562	0.117005	0.002759	0.001057	29267.11298
1	76	99347816	69.997067	0.970275	44.150513	1.264522	0.998699	25.600316	0.118104	0.002497	0.001	29274.89764
1	18	28578254	48.673811	1.266861	39.225241	1.402622	0.999963	25.604969	0.183652	0.001887	0.001001	29275.89592
1	52	79146659	70	0.946343	64.830714	1.054951	0.997123	25.612713	0.104257	0.005031	0.001014	29280.19663
1	151	100535894	58.88068	1.11885	43.115936	1.320148	0.999998	25.600018	0.14526	0.001348	0.001021	29282.92359
1	50	78914454	47.056519	1.30238	38.377458	1.429057	0.995303	25.600172	0.202182	0.001	0.001454	29288.06826
1	65	85879764	69.974056	0.937569	65.695957	1.037757	0.998137	25.607279	0.100571	0.002449	0.001	29292.74614
1	102	118895480	64.279175	1.044824	49.090576	1.241211	0.999963	25.65625	0.127878	0.001	0.001	29292.94767
1	30	29779530	67.61889	0.996532	38.176813	1.39593	0.999773	25.845859	0.11278	0.036312	0.001	29297.61604
1	25	29276362	69.997559	0.942676	54.847412	1.158496	0.997253	25.65625	0.109231	0.001	0.001044	29303.61103
1	96	33331962	53.583944	1.216541	38.939864	1.389716	0.999915	25.600578	0.177936	0.001218	0.001016	29304.26507
1	73	78576299	68.210254	0.99584	44.829556	1.280244	0.998747	25.641861	0.121035	0.005505	0.001153	29306.06442
1	63	114224115	65.49989	1.024529	52.95868	1.205777	0.999931	25.643833	0.124048	0.003188	0.001	29307.63979
