			a_acc	b_acc	a_speed	b_speed	sgmInput	S	tauR	tauG	tauD	
1	113	43987538	11.235039	1.302497	0.007699	1.605683	6.675796	529.240556	0.136619	0.028643	0.056161	17940.16894
1	125	109518044	5.378252	1.192147	35.18332	1.157127	6.605312	1159.182381	0.101111	0.128943	0.06273	17941.76768
1	160	44176641	40.353555	1.263151	0.004565	2.224338	6.140253	582.995713	0.05455	0.005721	0.288985	17944.97252
1	84	116352637	10.378203	1.224561	0.000156	1.420396	6.041971	413.756668	0.123879	0.005508	0.047266	17945.14209
1	83	103202327	19.45838	1.258203	68.928261	0.739043	6.857941	678.343555	0.119164	0.106254	0.040744	17946.78444
1	114	100400157	36.430781	1.133267	0.000068	1.638086	6.826482	1239.424068	0.265512	0.004455	0.082738	17947.5736
1	130	33765286	7.101922	1.086368	1.778291	1.542066	5.556337	441.028135	0.023259	0.029644	0.127745	17949.38266
1	68	80922788	12.026891	1.393409	0.001754	1.854059	6.672183	1098.830587	0.173618	0.007896	0.134943	17949.81711
1	40	27748004	33.884656	1.178838	0.00001	1.949369	6.570985	833.338718	0.092485	0.009606	0.192286	17954.17317
1	56	49152863	0.371445	1.331534	0.00183	1.666949	6.382369	654.287951	0.13221	0.034654	0.064859	17957.53126
1	81	68029623	15.842517	1.09178	25.875362	1.282717	6.871677	1204.892394	0.134487	0.186106	0.005662	17959.17223
1	15	25243597	22.394958	1.020999	48.111226	0.968474	6.276104	1883.997771	0.206422	0.154453	0.067182	17959.42829
1	159	45662201	28.920079	1.137861	53.959522	1.06002	6.528394	660.669137	0.062801	0.135991	0.103405	17960.71265
1	67	72594849	5.361818	1.230031	37.870487	1.165356	6.925984	995.586515	0.101238	0.100898	0.070329	17962.02793
1	78	42189906	35.333289	1.223041	0.062894	1.608708	6.872254	606.190815	0.204296	0.015085	0.052642	17965.22368
1	90	111360938	0.037775	1.140538	21.351523	1.151194	5.667054	778.853022	0.035959	0.140625	0.050104	17972.14671
1	115	77215969	28.09264	1.056563	44.934573	1.18509	6.25698	943.929651	0.080229	0.150996	0.094542	17976.33402
1	137	113665336	0.338218	1.263151	33.314785	1.277012	6.931272	1373.026579	0.130001	0.101247	0.091947	17979.9807
1	29	26650708	0	1.212171	26.075936	1.259979	7.017349	884.103628	0.069846	0.103253	0.072997	17980.58465
1	55	19633436	0.000158	1.176892	11.251226	1.368915	6.345358	1265.535739	0.114204	0.160718	0.002994	17982.47789
1	118	120689868	11.239287	1.185208	6.456425	1.612634	7.202231	420.787489	0.058803	0.033443	0.0956	17983.98631
1	45	32417019	19.635679	1.116307	39.134768	1.253744	6.779416	1004.738323	0.086559	0.114854	0.104454	17986.35319
1	131	118591697	29.746975	1.481142	0.022747	2.602333	5.980254	554.470448	0.035582	0.006995	0.411932	17987.36825
1	52	18858215	0.050292	1.143707	15.871209	1.363142	6.175955	840.242322	0.045627	0.096812	0.093989	18001.79799
1	99	28905708	18.873262	1.109369	37.253373	1.199573	6.980484	510.682224	0.03891	0.119931	0.091404	18002.39273
1	18	25546128	11.914377	1.133921	30.099551	1.298258	6.10656	865.87243	0.051546	0.119655	0.108511	18011.70759
1	141	112240895	46.589927	1.024794	5.245863	1.435201	6.711806	301.892918	0.120107	0.00216	0.046017	18017.72586
1	145	104858838	22.326131	1.082747	23.824405	1.533745	6.642056	397.205284	0.035428	0.024576	0.154809	18036.19419
1	109	75557356	17.199464	1.179296	15.285691	1.796445	6.622413	545.854565	0.040132	0.03109	0.189155	18039.56553
1	32	27522296	54.372765	0.972862	20.451056	1.474944	6.729319	782.438043	0.228701	0.001463	0.047328	18040.96254
1	94	26267885	8.113005	1.181432	19.705636	1.527407	6.374458	839.810928	0.057044	0.082664	0.118457	18043.06311
1	105	51905909	24.433236	1.137982	66.580003	0.939981	6.640065	501.269154	0.086973	0.029154	0.078544	18046.33571
1	70	45709599	69.999008	0.824896	44.552785	1.248699	6.128659	631.749765	0.237359	0.016007	0.017442	18047.71596
1	85	37056345	0	1.277382	54.360009	1.078412	6.796331	1203.987278	0.158308	0.033566	0.096805	18052.95331
1	93	53972398	1.098471	1.315089	69.897373	0.846899	6.61293	442.774257	0.147235	0.057461	0.010923	18054.54959
1	60	53469840	1.610443	1.317739	37.796248	1.290866	6.798965	563.183317	0.066606	0.056675	0.087736	18055.86608
1	155	125102057	9.730659	1.254005	46.085477	1.27487	6.599908	610.730914	0.070697	0.032857	0.12052	18057.10358
1	3	24051027	49.297694	0.88152	3.506571	1.598999	6.731935	1853.874477	0.345464	0.01623	0.070981	18058.63788
1	104	32432582	2.927627	1.285524	31.646722	1.37262	6.932984	532.790647	0.068252	0.055119	0.080072	18059.47141
1	134	98790480	32.470584	1.358167	31.171664	1.507856	6.178764	642.647966	0.463767	0.029459	0.005125	18059.80987
1	101	22924158	26.435403	1.189967	49.533045	1.277881	7.175251	495.544995	0.048606	0.09222	0.14542	18060.93001
1	27	26444956	33.056694	1.125157	23.482459	1.57746	7.524566	983.250499	0.183225	0.02155	0.086553	18061.52937
1	25	26245900	11.087341	1.21232	41.424612	1.316399	7.135938	546.11059	0.073959	0.032556	0.103812	18061.53415
1	91	110912818	12.210965	1.270242	51.099659	1.207016	6.725825	1098.623771	0.121256	0.040528	0.134632	18061.56045
1	122	100151020	20.575647	1.170963	51.363888	1.180063	6.852249	740.555176	0.112588	0.020458	0.092306	18065.18541
1	142	111831419	0.618611	1.280999	40.377135	1.234057	7.817264	578.628665	0.085974	0.0611	0.07124	18071.01617
1	9	24647411	48.731714	0.910079	36.260554	1.332346	6.839854	1497.725924	0.296017	0.008276	0.060386	18071.28661
1	95	22657244	21.76602	1.161272	39.915704	1.364176	7.143607	731.207877	0.103029	0.026177	0.104397	18071.74059
1	127	88413974	24.979195	1.103996	37.867457	1.4242	6.718625	400.880794	0.040345	0.023658	0.16131	18074.65434
1	103	87543821	25.81604	1.172949	32.731934	1.533984	7.299805	1025.34375	0.148672	0.001485	0.130572	18075.85077
1	36	27347550	43.115171	0.990006	67.685174	0.963691	6.981465	823.393177	0.141882	0.011795	0.085952	18080.18393
1	8	24547337	43.244683	0.957013	22.247689	1.82637	7.099536	417.268106	0.048409	0.033782	0.162052	18080.69909
1	49	101364660	25.452336	1.135932	40.122046	1.381601	7.064077	1064.970563	0.167699	0.001999	0.10342	18081.00034
1	41	60023970	24.88569	1.10697	51.330695	1.196527	7.105452	766.568826	0.118989	0.009177	0.098584	18081.52694
1	34	27147323	31.888198	0.99221	35.166366	1.436241	6.542086	397.835271	0.040451	0.023264	0.151257	18083.954
1	21	25849547	25.376661	1.15655	34.942751	1.497247	7.019828	1129.120288	0.149061	0.002789	0.134613	18086.27992
1	46	105967528	22.032894	1.154676	0.001415	1.502793	6.453861	310.379172	0.131178	0.042735	0.006804	18088.93049
1	89	26655396	19.108667	1.224792	6.158352	1.458898	6.145717	330.278304	0.163042	0.016004	0.017363	18093.55438
1	98	88700948	24.932588	1.144477	48.323648	1.225058	6.945533	570.758017	0.150353	0.002245	0.054653	18094.30574
1	111	88390345	33.632411	1.067185	57.376921	1.080431	6.860939	503.897089	0.129011	0.021032	0.046086	18094.74297
