n	m	l	a	b	sgm	S	tr	tg	td	nll
4	156	109091886	16.628125	1.253486	24.870294	482.297469	0.039898	0.080049	0.082683	7672.532509
4	153	72444777	32.128063	1.173206	15.561275	630.992324	0.13892	0.012214	0.065484	7647.550751
4	159	150406401	0.000002	1.439581	27.718876	575.051883	0.091911	0.001535	0.088304	7644.982644
4	133	146776493	10.209721	1.425291	22.821478	1064.539095	0.154126	0.117567	0.036368	7580.236114
4	155	144987059	0	1.622585	12.626658	661.849403	0.339224	0.050174	0.028583	7600.87068
4	139	88865423	27.442277	1.098248	20.483081	1523.072272	0.20535	0.148345	0.027833	7587.366991
4	131	106702284	47.179202	0.898297	15.903373	1220.546607	0.190471	0.14856	0.038076	7579.916588
4	140	128302428	0.001342	1.529231	20.532591	1141.109762	0.240836	0.100932	0.022036	7562.252715
4	128	66341144	20.456252	1.272086	21.627354	1105.335977	0.144542	0.134026	0.036673	7576.325568
4	145	111611924	31.390654	1.126774	18.386426	1194.054437	0.189318	0.122969	0.032993	7582.956541
4	125	76859247	32.545302	1.142363	19.756763	824.198876	0.082392	0.168627	0.058791	7581.628962
4	147	128111747	2.203261	1.474842	22.471018	1358.600032	0.2286	0.123223	0.019389	7568.051444
4	157	79300931	15.132139	1.327538	18.549211	783.787936	0.17844	0.001213	0.065821	7647.129492
4	146	108819668	42.672364	0.975854	16.081189	1048.134042	0.147902	0.171721	0.0339	7574.313999
4	7	107176403	28.593071	1.18207	23.684156	659.136597	0.068474	0.002334	0.148707	7691.426867
4	10	107475631	16.104371	1.09584	25.96404	332.962085	0.023583	0.055512	0.075146	7662.561433
4	31	109574446	0.281217	1.597411	23.848178	935.775024	0.158698	0.087712	0.054848	7599.313632
4	5	106975935	33.833292	1.000822	21.794076	414.867188	0.040382	0.026865	0.121738	7695.199217
4	23	108775918	0.000001	1.424925	20.829088	330.83947	0.084204	0.057033	0.033484	7595.366253
4	3	106774492	0.001066	1.604905	15.146744	1027.672241	0.380176	0.001	0.063742	7617.068452
4	9	107374383	3.261489	1.480287	24.701669	1328.697662	0.193973	0.106715	0.044007	7582.140297
4	35	109976914	0.372262	1.229373	23.773898	2988.570526	0.400843	0.130173	0.031953	7621.351772
4	27	109178221	17.854385	1.286255	20.275517	672.629883	0.131205	0.018109	0.0694	7650.645493
4	6	107076195	38.689212	1.091396	18.500072	915.10865	0.140754	0.002912	0.097808	7655.234389
4	11	107574393	4.354591	1.261578	13.239708	184.332031	0.098124	0.043951	0.005677	7593.298589
4	21	108575335	4.655149	1.442621	23.445165	903.048828	0.127112	0.12502	0.021098	7566.293185
4	1	106575662	28.054247	1.206766	18.865271	745.866699	0.135464	0.010488	0.081281	7650.150577
4	37	110176676	10.706202	1.3723	23.779761	1275.980408	0.165696	0.127183	0.036853	7576.321622
4	26	109074439	47.63875	1.03149	14.201412	811.614746	0.159251	0.001023	0.078429	7640.820012
4	17	108179468	3.092997	1.484911	26.720317	1175.536346	0.135919	0.137807	0.036017	7575.320276
4	30	109475860	11.210339	1.328767	22.298848	846.898651	0.100376	0.161727	0.005828	7557.708934
4	14	107878401	6.843723	1.36649	22.713564	712.121788	0.09343	0.137836	0.008541	7563.360695
4	34	109874401	17.070708	1.29253	22.334242	1034.881592	0.141434	0.149369	0.01908	7570.770633
4	2	106674560	19.301813	1.252123	21.345117	1233.337402	0.172075	0.136365	0.025476	7573.864556
4	29	109375443	15.606952	1.194227	20.280557	2141.439575	0.334138	0.117907	0.025299	7605.749492
